[07/12/2024 05:16:12] app.py | App running.
[07/12/2024 05:16:14] app.py | App running.
[07/12/2024 05:16:31] app.py | Generating data...
[07/12/2024 05:16:31] user_service.py | Generating SPVs...
[07/12/2024 05:16:38] user_service.py | SPVs generated.
[07/12/2024 05:16:38] outlet_service.py | Generating outlets...
[07/12/2024 05:16:38] outlet_service.py | 20
[07/12/2024 05:16:40] outlet_service.py | Outlets generated.
[07/12/2024 05:16:40] room_service.py | Generating types...
[07/12/2024 05:16:41] room_service.py | Types generated.
[07/12/2024 05:16:41] room_service.py | Generating Rooms...
[07/12/2024 05:16:50] room_service.py | Rooms Generated.
[07/12/2024 05:16:50] app.py | Success generating data.
[07/12/2024 05:17:15] outlet_service.py | Getting outlets data...
[07/12/2024 05:30:53] app.py | App running.
[07/12/2024 05:30:54] app.py | App running.
[07/12/2024 06:55:25] app.py | App running.
[07/12/2024 06:55:26] app.py | App running.
[07/12/2024 06:55:40] outlet_service.py | Getting outlets data...
[07/12/2024 06:55:40] outlet_service.py | Failed getting outlets data
[07/12/2024 06:55:48] app.py | Generating data...
[07/12/2024 06:55:48] user_service.py | Generating SPVs...
[07/12/2024 06:55:55] user_service.py | SPVs generated.
[07/12/2024 06:55:55] outlet_service.py | Generating outlets...
[07/12/2024 06:55:55] outlet_service.py | 20
[07/12/2024 06:55:57] outlet_service.py | Outlets generated.
[07/12/2024 06:55:57] room_service.py | Generating types...
[07/12/2024 06:55:58] room_service.py | Types generated.
[07/12/2024 06:55:58] room_service.py | Generating Rooms...
[07/12/2024 06:56:06] room_service.py | Rooms Generated.
[07/12/2024 06:56:07] app.py | Success generating data.
